Year,Unit,Farm,Field,Barley,Canola,Peas,DurumWheat,SpringWheat
2022,DryWeight_lbs,Algin Fair Sidlets,Algin Fair NW,,565889,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Algin Fair Quarter,,363315,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Algin House N 3in1,,558528,,,35925
2022,DryWeight_lbs,Algin Fair Sidlets,Algin House SE,,796100,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Algin House W,,606443,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Morley Mack,,770137,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Sidlets Gravel NW,1012706,,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Sidlets Gravel S,705973,,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Sidlets Middle,361521,,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Sidlets N Field,344256,,,,
2022,DryWeight_lbs,Algin Fair Sidlets,Sidlets NE,1325754,,,,
2022,DryWeight_lbs,Bethune,Berry N,,,1097030,,
2022,DryWeight_lbs,Bethune,GA House N,,,2154588,,
2022,DryWeight_lbs,Bethune,GA House SE,,,1052324,,
2022,DryWeight_lbs,Bethune,GA Section Ian W,,,2423542,,
2022,DryWeight_lbs,Bethune,Jimmy NW,,,1235565,,
2022,DryWeight_lbs,Bethune,Lou Jurdisey,,,1179956,,
2022,DryWeight_lbs,Bethune,Mackzine Yard,1382572,,,,
2022,DryWeight_lbs,Bethune,Riche Bethune E,,,563813,,
2022,DryWeight_lbs,Black,Black NE Chicken SW,,,2042226,,
2022,DryWeight_lbs,Black,Black SE,,,399644,,
2022,DryWeight_lbs,Black,Chicken Barns SE,,,815382,,
2022,DryWeight_lbs,Black,Gophers,,,568673,,
2022,DryWeight_lbs,Black,Gophers S Dave Core,,1314127,,,
2022,DryWeight_lbs,Black,HY 54~1,,,1029527,,
2022,DryWeight_lbs,Black,Long Field,,,1462002,,
2022,DryWeight_lbs,Black,Schandre N Side,,339316,,,
2022,DryWeight_lbs,Black,Schandre S Side,,51693,,,
2022,DryWeight_lbs,Black,Tee Slews,,1958933,,,
2022,DryWeight_lbs,Black,Triangle,,,,,730590
2022,DryWeight_lbs,Black,Walter + Black W,,,,,1803880
2022,DryWeight_lbs,Craven,Craven N,,,,2904252,
2022,DryWeight_lbs,Craven,Craven S N Side,,,,,860816
2022,DryWeight_lbs,Craven,Craven S Quarter,,,,,594967
