"Grower","Year","FieldName","Crop","Volume_bu","Area_ha","Mass_t","Yield_tha","Crop_monitor","Area_ha_monitor","Mass_t_monitor","Yield_tha_monitor","MassErr_t","YieldErr_tha","MassErr_perc","YieldErr_perc","badPerc","N"
"202204 SHANE STROEDER","2022","Allans east","Canola",5447.57194313948,NA,128.480470357063,NA,"Canola",49.73311006208,104.067209457266,2.0925136056716,-24.4132608997973,NA,-19.0015344993288,NA,FALSE,1
"202204 SHANE STROEDER","2022","Allans west","Canola",5430.37825514839,NA,128.074958847839,NA,"Canola",47.2900174088,100.250271999826,2.11990346996935,-27.8246868480133,NA,-21.7253139086078,NA,FALSE,1
"202204 SHANE STROEDER","2022","Behind Cicels","Canola",11209.842226993,NA,264.383071391344,NA,"Canola",87.5276794416,173.352900770619,1.98054948876239,-91.0301706207255,NA,-34.4311646512272,NA,FALSE,1
"202204 SHANE STROEDER","2022","Bobs Deeds","Wheat",8959.21908462354,NA,243.82808307815,NA,"Mustard",37.4597482019,145.61300380916,3.88718586746331,-98.2150792689899,NA,-40.2804623770555,NA,FALSE,1
"202204 SHANE STROEDER","2022","Bobs East Half","Wheat",17564.3187719624,NA,478.018690723992,NA,"Mustard",106.0451660867,398.154479313232,3.75457452711905,-79.8642114107603,NA,-16.707340729669,NA,FALSE,1
"202204 SHANE STROEDER","2022","Bobs home","Wheat",19450.2666478577,NA,529.345380139824,NA,"Mustard",88.3992809514,351.603630067496,3.97744898242781,-177.741750072328,NA,-33.5776520851809,NA,FALSE,1
"202204 SHANE STROEDER","2022","Burgers","Canola",26018.9734027088,NA,613.655033082754,NA,"Canola",244.06186480358,483.583511865906,1.98139726685729,-130.071521216848,NA,-21.1961956155434,NA,FALSE,1
"202204 SHANE STROEDER","2022","Cicels east","Canola",5227.38118943692,NA,123.287292203701,NA,"Canola",44.5259807707,88.8294168101105,1.99500191287339,-34.4578753935905,NA,-27.9492515227422,NA,FALSE,1
"202204 SHANE STROEDER","2022","Cicels home half","Canola",8893.48319417878,NA,209.751962126858,NA,"Canola",71.8501243731,137.480771471182,1.91343818359002,-72.271190655676,NA,-34.4555492701262,NA,FALSE,1
"202204 SHANE STROEDER","2022","Fats oil bin","Wheat",16733.129029317,NA,455.397589519841,NA,"Mustard",81.8907720296,352.388197391307,4.3031490442407,-103.009392128534,NA,-22.6196612584498,NA,FALSE,1
"202204 SHANE STROEDER","2022","Geralds","Wheat",1466.31130674043,NA,39.9061426828986,NA,"Mustard/Spring Barley",86.2445688613,303.859225244496,3.52322736673619,263.953082561597,NA,661.434718607148,NA,TRUE,1
"202204 SHANE STROEDER","2022","Geralds north","Barley",18008.9309147188,NA,392.351436050517,NA,"",NA,NA,NA,NA,NA,NA,NA,FALSE,1
"202204 SHANE STROEDER","2022","Herbs","Canola",8202.25462584759,NA,193.449401553009,NA,"Canola",81.0131442858,146.622634090689,1.80986228078533,-46.8267674623203,NA,-24.2062095237285,NA,FALSE,1
"202204 SHANE STROEDER","2022","Home half","Wheat",11695.1068477468,NA,318.286165026855,NA,"Mustard",73.0699952777,236.766347914575,3.2402677325317,-81.5198171122799,NA,-25.6121145276301,NA,FALSE,1
"202204 SHANE STROEDER","2022","Kenny 60acre","Wheat",2394.3517962028,NA,65.1630686970062,NA,"",NA,NA,NA,NA,NA,NA,NA,FALSE,1
"202204 SHANE STROEDER","2022","Kennys East","Wheat",20672.6760738684,NA,562.613653218714,NA,"Mustard",156.56556659,420.32736715306,2.68467311368518,-142.286286065654,NA,-25.2902298498505,NA,FALSE,1
"202204 SHANE STROEDER","2022","Klaybos","Wheat",NA,NA,NA,NA,"Mustard",0.022919901,0.029705972248,1.29607768585039,NA,NA,NA,NA,FALSE,1
"202204 SHANE STROEDER","2022","L field","Wheat",29990.3312557294,NA,816.19669213285,NA,"Mustard",127.1077004567,552.468597509139,4.34646048606112,-263.728094623711,NA,-32.3118308571612,NA,FALSE,1
"202204 SHANE STROEDER","2022","Lloyds east","Canola",2678.46502553951,NA,63.1713449419697,NA,"Canola/Mustard",42.5514850621,55.4784959003366,1.30379693727189,-7.69284904163307,NA,-12.1777509228272,NA,FALSE,1
"202204 SHANE STROEDER","2022","Lloyds home","Canola",2893.03994379084,NA,68.2320741460104,NA,"Canola",46.2439990142,67.0034318941825,1.44891084946196,-1.22864225182795,NA,-1.80068137632569,NA,FALSE,1
"202204 SHANE STROEDER","2022","Lloyds nw","Canola",3373.63621807447,NA,79.5668919357187,NA,"Canola/Mustard",41.52240776249,57.2377995316617,1.37847978034088,-22.329092404057,NA,-28.0632960026847,NA,FALSE,1
"202204 SHANE STROEDER","2022","Lornas north","Canola",15890.0256415723,NA,374.764755697459,NA,"Canola",120.50605592115,284.068725965296,2.35729834317347,-90.6960297321634,NA,-24.2007895228495,NA,FALSE,1
"202204 SHANE STROEDER","2022","Lornas South","Canola",14706.969128055,NA,346.862479435259,NA,"Canola",102.04624734772,229.337261981659,2.2473855525544,-117.5252174536,NA,-33.8823667653382,NA,FALSE,1
"202204 SHANE STROEDER","2022","Mesabi","Wheat",41102.3002735615,NA,1118.61257004032,NA,"Mustard",182.2500430116,765.318398346269,4.19927691483484,-353.294171694051,NA,-31.5832470648275,NA,FALSE,1
"202204 SHANE STROEDER","2022","Murhheads north","Mustard",4160.75709996675,NA,98.1310636784611,NA,"Mustard/Spring Barley",45.6520906379,81.74494228342,1.79060676392235,-16.3861213950411,NA,-16.6982001221676,NA,FALSE,1
"202204 SHANE STROEDER","2022","Murhheads south","Mustard",4866.31374162385,NA,114.771550509996,NA,"Mustard",45.2059995954,77.813280182511,1.72130427109124,-36.9582703274855,NA,-32.2015953982137,NA,FALSE,1
"202204 SHANE STROEDER","2022","Murhheads west","Mustard",4264.15001567161,NA,100.569575841312,NA,"Mustard",45.3847230024,78.915409135534,1.73880997646192,-21.6541667057776,NA,-21.5315283221893,NA,FALSE,1
"202204 SHANE STROEDER","2022","North of Food Grains","Wheat",19054.0635927322,NA,518.56258416972,NA,"Mustard",109.6181888441,488.719506692611,4.45837968904661,-29.8430774771087,NA,-5.75496157804964,NA,FALSE,1
"202204 SHANE STROEDER","2022","Parns","Wheat",16173.5913813836,NA,440.169589086207,NA,"Canola",140.65659672782,304.492281593764,2.16479204443555,-135.677307492443,NA,-30.8238712660975,NA,FALSE,1
"202204 SHANE STROEDER","2022","Phylis section 10","Wheat",23852.6672614774,NA,649.158155385297,NA,"Mustard",136.2204181066,497.138628988423,3.64951624652469,-152.019526396874,NA,-23.4179490984975,NA,FALSE,1
"202204 SHANE STROEDER","2022","Ratclif","Wheat",6158.01415117233,NA,167.592372936325,NA,"Mustard",39.2725765232,175.590134088157,4.47106224325333,7.99776115183181,NA,4.77215103032789,NA,FALSE,1
"202204 SHANE STROEDER","2022","School land","Wheat",13570.5379758807,NA,369.326637706311,NA,"Mustard",70.8090739974,239.335604542911,3.38001319649653,-129.9910331634,NA,-35.1967661933903,NA,FALSE,1
"202204 SHANE STROEDER","2022","South east Giebs","Canola",2349.38091456,NA,55.4099272301886,NA,"Canola",34.25465322446,54.7896216008137,1.59947967482825,-0.620305629374862,NA,-1.11948464901954,NA,FALSE,1
"202204 SHANE STROEDER","2022","South Giebs","Canola",4727.57183427733,NA,111.499335714088,NA,"Canola",36.0020272748,71.4331681534485,1.9841429375131,-40.0661675606396,NA,-35.9339966503291,NA,FALSE,1
"202204 SHANE STROEDER","2022","Franklins by lornas","Barley",21657.1162960742,NA,471.832599043011,NA,"Spring Barley",61.7070713406,348.24486839601,5.64351638848371,-123.587730647001,NA,-26.1931309743469,NA,FALSE,1
"202204 SHANE STROEDER","2022","Franklins Half pump","Barley",28925.172013537,NA,630.17803951061,NA,"Spring Barley",74.617597013544,383.853414813251,5.14427467750773,-246.324624697359,NA,-39.0881003864642,NA,FALSE,1
"202204 SHANE STROEDER","2022","Franklins single","Barley",14244.1958103494,NA,310.331063406306,NA,"Spring Barley",49.5104433911,252.790449341088,5.10580055492958,-57.5406140652178,NA,-18.5416868790482,NA,FALSE,1
"202204 SHANE STROEDER","2022","Harry L","Canola",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,FALSE,1
"202204 SHANE STROEDER","2022","Johnsons","Wheat",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,FALSE,1
"202204 SHANE STROEDER","2022","Kennys Home","Wheat",23937.6179165327,NA,651.470115298625,NA,"Mustard",180.3219416053,437.607502912413,2.42681228372239,-213.862612386212,NA,-32.8276934527043,NA,FALSE,1
