Grower,Year,FieldName,Crop,Weight_lbs,Volume_bu,Yield_buac,Use,Field_monitor,Crop_monitor,Area_ha_monitor,Mass_t_monitor,Yield_tha_monitor
202204 SHANE STROEDER,2022,Allans east,Canola,283251,,NA,TRUE,Allans east,Canola,49.73311006,104.0672095,2.092513606
202204 SHANE STROEDER,2022,Allans west,Canola,282357,,NA,TRUE,Allans west,Canola,47.29001741,100.250272,2.11990347
202204 SHANE STROEDER,2022,Behind Cicels,Canola,582865,,NA,TRUE,Behind Cicels,Canola,87.52767944,173.3529008,1.980549489
202204 SHANE STROEDER,2022,Bobs Deeds,Durum,537549,,NA,TRUE,Bobs Deeds,Mustard,37.4597482,145.6130038,3.887185867
202204 SHANE STROEDER,2022,Bobs East Half,Durum,1053851,,NA,TRUE,Bobs East Half,Mustard,106.0451661,398.1544793,3.754574527
202204 SHANE STROEDER,2022,Bobs home,Durum,1167007,,NA,TRUE,Bobs home,Mustard,88.39928095,351.6036301,3.977448982
202204 SHANE STROEDER,2022,Burgers,Canola,1352878,,NA,TRUE,Burgers,Canola,244.0618648,483.5835119,1.981397267
202204 SHANE STROEDER,2022,Cicels east,Canola,271802,,NA,TRUE,Cicels east,Canola,44.52598077,88.82941681,1.995001913
202204 SHANE STROEDER,2022,Cicels home half,Canola,462424,,NA,TRUE,Cicels home half,Canola,71.85012437,137.4807715,1.913438184
202204 SHANE STROEDER,2022,Fats oil bin,Durum,1003980,,NA,TRUE,Fats oil bin,Mustard,81.89077203,352.3881974,4.303149044
202204 SHANE STROEDER,2022,Herbs,Canola,426483,,NA,TRUE,Herbs,Canola,81.01314429,146.6226341,1.809862281
202204 SHANE STROEDER,2022,Home half,Durum,701701,,NA,TRUE,Home half,Mustard,73.06999528,236.7663479,3.240267733
202204 SHANE STROEDER,2022,Kenny 60acre,Durum,143660,,NA,TRUE,NA,NA,NA,NA,NA
202204 SHANE STROEDER,2022,Kennys East,Durum,1240351,,NA,TRUE,Kennys East,Mustard,156.5655666,420.3273672,2.684673114
202204 SHANE STROEDER,2022,Klaybos,Durum,NA,,NA,TRUE,Klaybos,Mustard,0.022919901,0.029705972,1.296077686
202204 SHANE STROEDER,2022,L field,Durum,1799406,,NA,TRUE,L field,Mustard,127.1077005,552.4685975,4.346460486
202204 SHANE STROEDER,2022,Lloyds east,Canola,139269,,NA,TRUE,Lloyds east,Canola/Mustard,42.55148506,55.4784959,1.303796937
202204 SHANE STROEDER,2022,Lloyds home,Canola,150426,,NA,TRUE,Lloyds home,Canola,46.24399901,67.00343189,1.448910849
202204 SHANE STROEDER,2022,Lloyds nw,Canola,175415,,NA,TRUE,Lloyds nw,Canola/Mustard,41.52240776,57.23779953,1.37847978
202204 SHANE STROEDER,2022,Lornas north,Canola,826215,,NA,TRUE,Lornas north,Canola,120.5060559,284.068726,2.357298343
202204 SHANE STROEDER,2022,Lornas South,Canola,764701,,NA,TRUE,Lornas South,Canola,102.0462473,229.337262,2.247385553
202204 SHANE STROEDER,2022,Mesabi,Durum,2466119,,NA,TRUE,Mesabi,Mustard,182.250043,765.3183983,4.199276915
202204 SHANE STROEDER,2022,Murhheads north,Mustard,216342,,NA,TRUE,Murhheads north,Mustard/Spring Barley,45.65209064,81.74494228,1.790606764
202204 SHANE STROEDER,2022,Murhheads south,Mustard,253028,,NA,TRUE,Murhheads south,Mustard,45.2059996,77.81328018,1.721304271
202204 SHANE STROEDER,2022,Murhheads west,Mustard,221718,,NA,TRUE,Murhheads west,Mustard,45.384723,78.91540914,1.738809976
202204 SHANE STROEDER,2022,North of Food Grains,Durum,1143235,,NA,TRUE,North of Food Grains,Mustard,109.6181888,488.7195067,4.458379689
202204 SHANE STROEDER,2022,Parns,Durum,970408,,NA,TRUE,Parns,Canola,140.6565967,304.4922816,2.164792044
202204 SHANE STROEDER,2022,Phylis section 10,Durum,1431149,,NA,TRUE,Phylis section 10,Mustard,136.2204181,497.138629,3.649516247
202204 SHANE STROEDER,2022,Ratcliff,Durum,369478,,NA,TRUE,Ratcliff,Mustard,39.27257652,175.5901341,4.471062243
202204 SHANE STROEDER,2022,School land,Durum,814226,,NA,TRUE,School land,Mustard,70.809074,239.3356045,3.380013196
202204 SHANE STROEDER,2022,South east Giebs,Canola,122158,,NA,TRUE,South east Giebs,Canola,34.25465322,54.7896216,1.599479675
202204 SHANE STROEDER,2022,South Giebs,Canola,245814,,NA,TRUE,South Giebs,Canola,36.00202727,71.43316815,1.984142938
202204 SHANE STROEDER,2022,Franklins by lornas,Barley,1040213,,NA,TRUE,Franklins by lornas,Spring Barley,61.70707134,348.2448684,5.643516388
202204 SHANE STROEDER,2022,Franklins Half pump,Barley,1389305,,NA,TRUE,Franklins Half pump,Spring Barley,74.61759701,383.8534148,5.144274678
202204 SHANE STROEDER,2022,Franklins single,Barley,684163,,NA,TRUE,Franklins single,Spring Barley,49.51044339,252.7904493,5.105800555
202204 SHANE STROEDER,2022,Harry L,Canola,NA,,NA,TRUE,NA,NA,NA,NA,NA
202204 SHANE STROEDER,2022,Johnsons,Durum,NA,,NA,TRUE,NA,NA,NA,NA,NA
202204 SHANE STROEDER,2022,Kennys Home,Durum,1436246,,NA,TRUE,Kennys Home,Mustard,180.3219416,437.6075029,2.426812284
202204 SHANE STROEDER,2022,Kennys SE,Durum,743401,,NA,TRUE,Kennys SE,Mustard,75.94310423,250.0977102,3.293224747
202204 SHANE STROEDER,2022,Kevins,Durum,928283,,NA,TRUE,Kevins,Mustard,110.6686138,364.9105996,3.29732692
202204 SHANE STROEDER,2022,McNeils,Mustard,683006,,NA,TRUE,McNeils,Mustard,134.7125972,217.0829546,1.611452523
202204 SHANE STROEDER,2022,Melbys Single,Canola,372427,,NA,TRUE,Melbys Single,Canola,49.4297445,114.1538014,2.309415161
202204 SHANE STROEDER,2022,North of Kens nw34,Canola,353364,,NA,TRUE,North of Kens nw34,Canola,76.73723732,133.3504968,1.737754725
202204 SHANE STROEDER,2022,North of kens nw35,Canola,402470,,NA,TRUE,North of kens nw35,Canola,79.27526496,141.1685885,1.78073941
202204 SHANE STROEDER,2022,Ushers Yard,Canola,646247,,NA,TRUE,Ushers Yard,Canola,87.65325178,199.8285993,2.279762533
202221 ABERHART FARMS INC,2022,15,Wheat,NA,8946,63.9,TRUE,15,Corn/Spring Wheat/Spring Oats,62.8787231,253.3473647,4.029142963
202221 ABERHART FARMS INC,2021,24,Peas,NA,4171,27.26,TRUE,24,Other,56.35189662,69.39588449,1.231473804
202221 ABERHART FARMS INC,2022,24,Canola,NA,7497,49,TRUE,24,Canola,41.88233242,103.6014984,2.473632494
202221 ABERHART FARMS INC,2022,15 Breaking,Oats,NA,1942.2,107.9,TRUE,NA,NA,NA,NA,NA
202221 ABERHART FARMS INC,2021,25 Creek,Barley,NA,14232,59.55,TRUE,25 Creek,Spring Barley,92.67078962,292.0714688,3.151710156
202221 ABERHART FARMS INC,2022,25 Creek,Canola,NA,11684.1,49.3,TRUE,25 Creek,Canola,83.35107228,196.8365345,2.36153572
202221 ABERHART FARMS INC,2022,Altmans L,Wheat,NA,29876,67.9,TRUE,Altmans L,Spring Barley/Winter Wheat,178.6687747,742.597157,4.156278331
202221 ABERHART FARMS INC,2021,Barrys,Canola,NA,11124,36,TRUE,Barrys,Canola,125.9898796,204.8345241,1.625801412
202221 ABERHART FARMS INC,2022,Barrys,Wheat,NA,18894,67,TRUE,Barrys,Spring Barley/Corn/Winter Wheat,115.8732822,471.686963,4.070713748
202221 ABERHART FARMS INC,2022,Bennett Half,Canola,NA,11307.2,38.2,TRUE,NA,NA,NA,NA,NA
202221 ABERHART FARMS INC,2021,Bills,Canola,NA,6685,41.01,TRUE,Bills,Canola,65.18429477,125.7459671,1.9290838
202221 ABERHART FARMS INC,2022,Bills,Wheat,NA,8976,56.1,TRUE,Bills,Winter Wheat,62.80163133,216.2677742,3.443664912
202221 ABERHART FARMS INC,2021,Bobs Half,Canola,NA,9875,47.71,TRUE,Bobs Half,Canola,85.93315793,182.9263325,2.128704879
202221 ABERHART FARMS INC,2021,Border Quarter,Canola,NA,3988,34.09,TRUE,Border Quarter,Canola,48.88226974,68.6413385,1.404217498
202221 ABERHART FARMS INC,2022,Border Quarter,Canola,NA,4637.4,39.3,TRUE,Border Quarter,Canola,46.25712035,96.39807104,2.083961784
202221 ABERHART FARMS INC,2022,Brent Half,Barley,NA,29334.7,125.9,TRUE,Brent Half,Spring Barley,95.02004114,624.4006281,6.571251923
202221 ABERHART FARMS INC,2021,Brians Half,Canola,NA,10702,50.01,TRUE,Brians Half,Canola,87.7759656,210.4724538,2.397836952
202221 ABERHART FARMS INC,2022,Brians Half,Barley,NA,21294,101.4,TRUE,Brians Half,Spring Barley,63.0688133,312.1155548,4.948809696
202221 ABERHART FARMS INC,2021,Bush Quarter,Barley,NA,8881,55.16,TRUE,Bush Quarter,Spring Barley,62.23978247,200.0037038,3.213438349
202221 ABERHART FARMS INC,2022,Bush Quarter,Canola,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
202221 ABERHART FARMS INC,2021,Carls,Canola,NA,3967,33.34,TRUE,Carls,Canola,47.45892144,70.97429141,1.495488925
202221 ABERHART FARMS INC,2022,Carls,Wheat,NA,6408,53.4,TRUE,Carls,Winter Wheat,44.75776225,157.7068839,3.523564984
202221 ABERHART FARMS INC,2021,Cliff,Peas,NA,7348,33.1,TRUE,Cliff,Other,85.58526691,122.4228338,1.43041949
202221 ABERHART FARMS INC,2022,Cliff,Canola,NA,10966.8,49.4,TRUE,Cliff,Canola,87.44652296,211.854094,2.422670299
202221 ABERHART FARMS INC,2021,Dad Quarter,Wheat,NA,7919,48.29,TRUE,Dad Quarter,Winter Wheat,65.64687956,222.2247814,3.385153762
202221 ABERHART FARMS INC,2022,Dad Quarter,Canola,NA,7331.5,47.3,TRUE,Dad Quarter,Canola,62.55712875,160.0878357,2.559066232
202221 ABERHART FARMS INC,2021,Dancing East,Canola,NA,2683,22.74,TRUE,Dancing East,Canola,46.93346097,48.03559242,1.023482851
202221 ABERHART FARMS INC,2022,Dancing East,Oats,NA,13700.7,117.1,TRUE,Dancing East,Spring Oats,42.90876691,183.1720366,4.268872069
202221 ABERHART FARMS INC,2021,Dancing Half,Canola,NA,6683,32.13,TRUE,Dancing Half,Canola,87.38287928,107.4828252,1.230021557
202221 ABERHART FARMS INC,2022,Dancing Half,Oats,NA,26708,121.4,TRUE,Dancing Half,Spring Oats,82.16534258,378.4064376,4.605426396
202221 ABERHART FARMS INC,2022,Dancing L Block,Oats,NA,24567.2,114.8,TRUE,Dancing L Block,Spring Oats,76.87128655,312.3642598,4.06347121
202221 ABERHART FARMS INC,2022,Dancing L Block Breaking,Canola,NA,3234,33,TRUE,NA,,NA,NA,NA
202221 ABERHART FARMS INC,2022,Dancing West,Oats,NA,14854.2,130.3,TRUE,Dancing West,Spring Oats,43.74368017,200.1183064,4.574793561
202221 ABERHART FARMS INC,2021,Daryl Home Sec,Canola,NA,22848,38.53,TRUE,Daryl Home Sec,Canola,241.8646284,436.151109,1.803286044
202221 ABERHART FARMS INC,2022,Daryl Home Sec,Wheat,NA,35460,59.1,TRUE,Daryl Home Sec,Winter Wheat,226.3275997,862.0636938,3.80891988
202221 ABERHART FARMS INC,2021,David,Barley,NA,18669,63.72,TRUE,NA,NA,NA,NA,NA
202221 ABERHART FARMS INC,2022,David Manitoba Half,Canola,NA,10590.3,36.9,TRUE,David Manitoba Half,Canola,103.4389873,203.040432,1.962900422
202221 ABERHART FARMS INC,2021,Davids and Hermans S,Barley,NA,33486,63.18,TRUE,Davids and Hermans S,Spring Barley,205.5839847,795.8824625,3.871325209
202221 ABERHART FARMS INC,2022,Davids and Hermans S,Canola,NA,20736,40.5,TRUE,Davids and Hermans S,Canola,170.7676241,366.6597143,2.147126637
202221 ABERHART FARMS INC,2021,Decock Home Half,Wheat,NA,11991,50.38,TRUE,Decock Home Half,Winter Wheat,95.55701645,334.6107452,3.501686822
202221 ABERHART FARMS INC,2022,Decock Home Half,Canola,NA,11178,48.6,TRUE,Decock Home Half,Canola,92.57845067,240.4659904,2.597429409
202221 ABERHART FARMS INC,2021,Ditch Field,Peas,NA,7119,46.84,TRUE,Ditch Field,Other,60.61601777,149.1180295,2.460043319
202221 ABERHART FARMS INC,2022,Ditch Field,Canola,NA,6246.5,40.3,TRUE,Ditch Field,Canola,59.73934694,126.6417476,2.119905123
202221 ABERHART FARMS INC,2022,Dwayne Home Sec,Wheat,NA,37018.2,59.9,TRUE,Dwayne Home Sec,Spring Wheat,235.4610348,873.0013954,3.707625749
202221 ABERHART FARMS INC,2021,Dwayne North Sec,Canola,NA,21814,33.56,TRUE,Dwayne North Sec,Canola,266.2213305,402.7549007,1.512857365
