Grower,Farm,Year,FieldName,FieldName_original,Crop,Variety,Date,SeededAcres,Acres,Weight_lbs,Volume_bu,Yield_buac,Use,Notes
202204 SHANE STROEDER,Ashworth Ag Co,2022,Allans east,Allans east,Canola,,,,,283251,,34,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Allans west,Allans west,Canola,,,,,282357,,35,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Behind Cicels,Behind Cicels,Canola,,,,,582865,,35,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs Deeds,Bobs Deeds,Durum,,,,,537549,,56,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs East Half,Bobs East Half,Durum,,,,,1053851,,56,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs home,Bobs home,Durum,,,,,1167007,,65,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Burgers,Burgers,Canola,,,,,1352878,,34,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Cicels east,Cicels east,Canola,,,,,271802,,35,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Cicels home half,Cicels home half,Canola,,,,,462424,,31,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Fats oil bin,Fats oil bin,Durum,,,,,1003980,,59,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Geralds,Geralds,Durum,,,,,87978,,8,FALSE,Two crops from same field
202204 SHANE STROEDER,Ashworth Ag Co,2022,Geralds north,Geralds north,Barley,,,,,864987,,160,FALSE,Two crops from same field
202204 SHANE STROEDER,Ashworth Ag Co,2022,Herbs,Herbs,Canola,,,,,426483,,25,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Home half,Home half,Durum,,,,,701701,,40,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kenny 60acre,Kenny 60acre,Durum,,,,,143660,,39,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kennys East,Kennys East,Durum,,,,,1240351,,42,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Klaybos,Klaybos,Durum,,,,,NA,,NA,FALSE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,L field,L field,Durum,,,,,1799406,,63,TRUE,
202204 SHANE STROEDER,Ashworth Ag Co,2022,Lloyds east,Lloyds east,Canola,,,,,139269,,18,TRUE,
