Grower,Farm,Year,FieldName,Crop,Variety,Date,SeededAcres,Acres,Weight_lbs,Volume_bu,Yield_buac,FieldName_monitor,Year_monitor,Crop_monitor,Area_ha_monitor,Mass_t_monitor,Yield_tha_monitor,Notes
202204 SHANE STROEDER,Ashworth Ag Co,2022,Allans east,Canola,,,,,283251,,,Allans east,2022,Canola,49.73311006208,104.067209457266,2.0925136056716,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Allans west,Canola,,,,,282357,,,Allans west,2022,Canola,47.2900174088,100.250271999826,2.11990346996935,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Behind Cicels,Canola,,,,,582865,,,Behind Cicels,2022,Canola,87.5276794416,173.352900770619,1.98054948876239,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs Deeds,Durum,,,,,537549,,,Bobs Deeds,2022,Mustard,37.4597482019,145.61300380916,3.88718586746331,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs East Half,Durum,,,,,1053851,,,Bobs East Half,2022,Mustard,106.0451660867,398.154479313232,3.75457452711905,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Bobs home,Durum,,,,,1167007,,,Bobs home,2022,Mustard,88.3992809514,351.603630067496,3.97744898242781,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Burgers,Canola,,,,,1352878,,,Burgers,2022,Canola,244.06186480358,483.583511865906,1.98139726685729,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Cicels east,Canola,,,,,271802,,,Cicels east,2022,Canola,44.5259807707,88.8294168101105,1.99500191287339,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Cicels home half,Canola,,,,,462424,,,Cicels home half,2022,Canola,71.8501243731,137.480771471182,1.91343818359002,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Fats oil bin,Durum,,,,,1003980,,,Fats oil bin,2022,Mustard,81.8907720296,352.388197391307,4.3031490442407,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Geralds,Durum,,,,,87978,,,Geralds,2022,Mustard/Spring Barley,86.2445688613,303.859225244496,3.52322736673619,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Geralds north,Barley,,,,,864987,,,,,,,,,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Herbs,Canola,,,,,426483,,,Herbs,2022,Canola,81.0131442858,146.622634090689,1.80986228078533,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Home half,Durum,,,,,701701,,,Home half,2022,Mustard,73.0699952777,236.766347914575,3.2402677325317,Year = 2022?
202204 SHANE STROEDER,Ashworth Ag Co,2022,Kenny 60acre,Durum,,,,,143660,,,,,,,,,Year = 2022?
